"処理No.","タスク名（大項目）","タスク名（中項目）","タスク詳細","ディレクトリ名","ディレクトリ詳細","ファイル名","ファイル詳細","メソッドクラス詳細","単体テスト","結合テスト"
"022","ファイル・CSV構築","UploadedFile Repository","UploadedFile Repositoryを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","backend/src/repositories","UploadedFile Repositoryに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・backend/src/repositories/uploaded_file_repository.py
　→責務: UploadedFileの作成、ID/保存名/Checksum検索、設備別一覧、Status更新、削除を担当する。","UploadedFile Repositoryを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【backend/src/repositories/uploaded_file_repository.py】
・UploadedFileRepository（クラス）
　→UploadedFile DB操作を集約する。
・create（メソッド）
　→Metadataを追加してflush/refreshする。
・get_by_id（メソッド）
　→UUIDで取得する。
・get_by_stored_filename（メソッド）
　→保存File名で取得する。
・get_by_checksum（メソッド）
　→Checksumで重複検索する。
・list_by_equipment_id（メソッド）
　→設備単位で一覧取得する。
・update_status（メソッド）
　→処理Statusを更新する。
・delete（メソッド）
　→対象Recordを削除する。","・Mock Session
　（外部依存をMockし、対象Unitの分岐と呼出契約だけを決定的に確認する。）
・Not Found
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・重複
　（同一ID、Checksum、二重Click等を発生させ、重複登録・重複通信を防止することを確認する。）","・PostgreSQL登録再取得
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）
・Rollback
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
"023","振動分析構築","統計分析Service","統計分析Serviceを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","backend/src/services","統計分析Serviceに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・backend/src/services/vibration_analysis_service.py
　→責務: DataFrameから統計、Threshold超過、異常候補を計算する。","統計分析Serviceを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【backend/src/services/vibration_analysis_service.py】
・VibrationAnalysisService（クラス）
　→振動値の決定的分析を担当する。
・analyze（メソッド）
　→件数、最小、最大、平均、中央値、標準偏差、異常候補等を返す。","・既知統計
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・空Data
　（空配列、空文字、空File等を与え、仕様どおり拒否またはEmpty表示になることを確認する。）
・境界
　（最小、最大、等値、直前、直後の値を与え、判定や丸めが仕様どおりであることを確認する。）
・標準偏差0
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）","・CSV Parser→Analysis→Report
　（ダミーCSVを選択・送信し、保存、Measurement変換、分析、Report生成までを確認する。）"
"024","振動分析構築","Measurement API","【実装済み】Uploaded File IDで保存CSVを読み込み、時系列Measurement Responseを返す。Measurement Tableは参照しない。","backend/src/api/v1","Measurement APIに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・backend/src/api/v1/measurements.py
　→責務: GET /api/v1/files/{uploaded_file_id}/measurementsを提供する。
・backend/src/schemas/measurement_schema.py
　→責務: Measurement Responseを型定義する。
・backend/src/services/csv_service.py
　→責務: 対象CSVを読み込んで検証する。","Measurement APIを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【backend/src/api/v1/measurements.py】
・get_measurements（関数）
　→UploadedFileを取得し、保存CSVから測定値を読み込み、Threshold付きResponseを返す。
・_resolve_csv_path（内部関数）
　→許可されたUpload Directory内のCSV Pathを解決する。","・正常取得
　（有効な入力とMock Responseを与え、期待する戻り値、状態更新、呼出引数になることを確認する。）
・空結果
　（空配列、空文字、空File等を与え、仕様どおり拒否またはEmpty表示になることを確認する。）
・不正日付
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Repository Error
　（依存処理を失敗させ、Error変換、利用者向けMessage、状態復旧が正しいことを確認する。）","・API→Repository→DB
　（実際のRouter、Service、RepositoryまたはMock Serverを接続し、RequestからResponseまでの契約を確認する。）
・Frontend契約
　（親Component、Hook、APIを接続し、利用者操作から表示更新までを確認する。）"
"025","LLM構築","Azure OpenAI Client","Azure OpenAI Clientを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","backend/src/services","Azure OpenAI Clientに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・azure_openai_service.py
　→責務: Azure OpenAIの文章生成とEmbedding呼出を共通化し、外部ErrorをApplication Errorへ変換する。","Azure OpenAI Clientを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【azure_openai_service.py】
・generate_text（関数/メソッド）
　→PromptをAzure OpenAIへ送信し、生成TextをApplication形式で返す。
・create_embedding（関数/メソッド）
　→TextをEmbedding Vectorへ変換し、pgvector保存・検索に利用する。
・map_error（関数/メソッド）
　→SDK固有Errorを利用者向けMessageと再試行判断を持つApplication Errorへ変換する。","・SDK Mock
　（外部依存をMockし、対象Unitの分岐と呼出契約だけを決定的に確認する。）
・Timeout
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Rate Limit
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・次元
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）","・実Azure接続
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）
・Workflow呼出
　（複数ServiceとRepositoryを順に実行し、状態遷移、保存結果、失敗時rollbackを確認する。）"
"026","LLM構築","Prompt設計","【一部実装済み】RAG Chat Promptは専用File化済み。振動分析PromptはAzureOpenAIServiceのgenerate_vibration_analysis内で扱われるため、report_prompt.pyは存在しない。","backend/src/prompts / backend/src/services","Prompt設計に関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・backend/src/prompts/rag_chat_prompt.py
　→責務: RAG Sourceと質問からChat入力を構築する。
・backend/src/services/azure_openai_service.py
　→責務: 振動分析用PromptとAzure OpenAI呼出を管理する。","Prompt設計を実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【backend/src/prompts/rag_chat_prompt.py】
・build_rag_chat_input（関数）
　→質問と検索Contextを根拠制約付き入力へ変換する。
【backend/src/services/azure_openai_service.py】
・generate_vibration_analysis（メソッド）
　→統計分析結果からAI分析文章を生成する。","・必須値
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・数値保持
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・特殊文字
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Injection
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）","・Mock LLM→Output Parser
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
"027","レポート構築","Report生成Workflow","【実装済み】単一report_workflow.pyではなく、LangGraphのGraph、Node、Stateで分析・Report生成を構成する。","backend/src/workflows","Report生成Workflowに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・backend/src/workflows/graphs/analysis_graph.py
　→責務: 分析GraphのNode、Edge、終了条件を定義する。
・backend/src/workflows/nodes/analysis_nodes.py
　→責務: Upload確認、CSV読込、振動分析、AI分析を担当する。
・backend/src/workflows/nodes/report_nodes.py
　→責務: Report保存、Chunk構築、Embedding生成、完了Status更新を担当する。
・backend/src/workflows/states/analysis_state.py
　→責務: Graphの入力、途中状態、出力を型定義する。
・backend/src/services/report_service.py
　→責務: Graphを実行するReport生成ユースケースを提供する。","Report生成Workflowを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【backend/src/workflows/graphs/analysis_graph.py】
・build_analysis_graph（関数）
　→AnalysisNodesとReportNodesを接続してGraphをCompileする。
【backend/src/services/report_service.py】
・ReportService（クラス）
　→Report生成ユースケースを統括する。
・generate_report（メソッド）
　→重複確認後にAnalysis Graphを実行して結果を返す。","・Node正常/失敗
　（有効な入力とMock Responseを与え、期待する戻り値、状態更新、呼出引数になることを確認する。）
・409
　（重複・競合状態を作り、Conflictとして再処理を防止することを確認する。）
・AI失敗
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・保存失敗
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）","・Upload→Analysis→AI→Report→Chunk
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
"028","レポート構築","Analysis Node","Analysis Nodeを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","backend/src/workflows/nodes","Analysis Nodeに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・backend/src/workflows/nodes/analysis_nodes.py
　→責務: 分析Graph前半の業務処理を担当する。","Analysis Nodeを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【backend/src/workflows/nodes/analysis_nodes.py】
・AnalysisNodes（クラス）
　→Upload確認からAI分析までのNodeを提供する。
・load_uploaded_file（メソッド）
　→UploadedFileと物理CSVを確認する。
・check_existing_report（メソッド）
　→既存Reportの重複を確認する。
・mark_processing（メソッド）
　→Upload Statusをprocessingへ更新する。
・load_and_validate_csv（メソッド）
　→CSVを読み込み検証する。
・analyze_vibration（メソッド）
　→Pythonで統計分析する。
・generate_ai_analysis（メソッド）
　→Azure OpenAIで分析文章を生成する。","・State遷移
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・測定値なし
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Service例外
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・境界
　（最小、最大、等値、直前、直後の値を与え、判定や丸めが仕様どおりであることを確認する。）","・前後Node State受渡し
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
"029","レポート構築","Report Node","Report Nodeを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","backend/src/workflows/nodes","Report Nodeに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・backend/src/workflows/nodes/report_nodes.py
　→責務: 分析Graph後半のReport、Chunk、Embedding保存を担当する。","Report Nodeを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【backend/src/workflows/nodes/report_nodes.py】
・ReportNodes（クラス）
　→Report永続化Nodeを提供する。
・build_report_content（メソッド）
　→分析結果からReport内容を構築する。
・save_report（メソッド）
　→Reportを保存する。
・build_report_chunks（メソッド）
　→RAG検索用Chunkを構築する。
・generate_chunk_embeddings（メソッド）
　→ChunkごとのEmbeddingを生成する。
・save_report_chunks（メソッド）
　→ChunkとVectorを保存する。
・mark_completed（メソッド）
　→処理完了Statusへ更新する。","・LLM Mock
　（外部依存をMockし、対象Unitの分岐と呼出契約だけを決定的に確認する。）
・欠損
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・外部Error
　（依存処理を失敗させ、Error変換、利用者向けMessage、状態復旧が正しいことを確認する。）
・Chunk Type
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）","・Analysis→Report→Persistence
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
"030","レポート構築","Report API","Report APIを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","backend/src/api/v1","Report APIに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・backend/src/api/v1/reports.py
　→責務: 一覧、生成、PDF Downloadの3 Endpointを同一Routerで提供する。
・backend/src/schemas/report_schema.py
　→責務: Request/Response Schemaを定義する。","Report APIを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【backend/src/api/v1/reports.py】
・list_reports（関数）
　→GET /api/v1/reportsで一覧を返す。
・generate_report（関数）
　→POST /api/v1/reports/generateでReportServiceを実行する。
・download_report_pdf（関数）
　→GET /api/v1/reports/{report_id}/pdfでPDFを返す。","・正常生成
　（有効な入力とMock Responseを与え、期待する戻り値、状態更新、呼出引数になることを確認する。）
・404
　（対象なしResponseを与え、Not Foundとして処理されることを確認する。）
・409
　（重複・競合状態を作り、Conflictとして再処理を防止することを確認する。）
・422
　（不正入力を与え、Validation Errorの項目とMessageが返ることを確認する。）
・502
　（AI等の外部Serviceを失敗させ、Bad Gateway相当のErrorへ変換されることを確認する。）
・Schema
　（正常・欠損・型違いDataを与え、Schema Validation結果を確認する。）","・API→Workflow→DB
　（複数ServiceとRepositoryを順に実行し、状態遷移、保存結果、失敗時rollbackを確認する。）
・Frontend契約
　（親Component、Hook、APIを接続し、利用者操作から表示更新までを確認する。）"
"031","レポート構築","Report Repository","Report Repositoryを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","backend/src/repositories","Report Repositoryに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・backend/src/repositories/report_repository.py
　→責務: Reportの作成、ID/Upload ID検索、設備別/全件一覧、PDF情報更新、削除を担当する。","Report Repositoryを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【backend/src/repositories/report_repository.py】
・ReportRepository（クラス）
　→Report DB操作を集約する。
・create（メソッド）
　→Reportを保存する。
・get_by_id（メソッド）
　→IDで取得する。
・get_by_uploaded_file_id（メソッド）
　→Upload File IDで取得する。
・list_by_equipment_id（メソッド）
　→設備別一覧を返す。
・list_all_with_files（メソッド）
　→Upload情報付き全件一覧を返す。
・update_pdf_information（メソッド）
　→PDF Path等を更新する。
・delete（メソッド）
　→Reportを削除する。","・Query
　（条件有無や複数条件を与え、期待するSQL/URL Queryが組み立てられることを確認する。）
・Not Found
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・並び順
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・重複
　（同一ID、Checksum、二重Click等を発生させ、重複登録・重複通信を防止することを確認する。）","・PostgreSQL Repository
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）
・Transaction
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
"032","PDF構築","PDF生成Service","PDF生成Serviceを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","backend/src/services","PDF生成Serviceに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・backend/src/services/report_pdf_service.py
　→責務: ReportとSource CSVから日本語PDFと振動Chartを生成する。","PDF生成Serviceを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【backend/src/services/report_pdf_service.py】
・VibrationChart（クラス）
　→PDF内の振動Chartを描画する。
・draw（メソッド）
　→CanvasへChartを描画する。
・ReportPdfService（クラス）
　→PDF生成を統括する。
・generate（メソッド）
　→Reportを取得しPDFを生成する。
・_build_pdf（内部メソッド）
　→ReportLab要素を組み立てる。","・日本語
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・長文
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・異常多数
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Path
　（特殊文字を含むIDやFilenameを与え、安全なPath生成とTraversal防止を確認する。）
・生成失敗
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）","・実PDF開封
　（Report取得からPDF生成、HTTP返却、実File開封までを確認する。）
・API Download
　（Report IDをButtonからAPIへ渡し、Pending、Blob取得、Download開始、完了状態を確認する。）
・複数OS
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
"033","PDF構築","PDF API","PDF APIを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","backend/src/api/v1","PDF APIに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・backend/src/api/v1/reports.py
　→責務: PDF Download EndpointもReport Router内に実装する。
・backend/src/services/report_pdf_service.py
　→責務: PDF生成を担当する。","PDF APIを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【backend/src/api/v1/reports.py】
・download_report_pdf（関数）
　→ReportPdfService.generateを呼びPDF bytesを返す。
【backend/src/services/report_pdf_service.py】
・generate（メソッド）
　→Report IDからPDFを生成する。","・正常Download
　（有効な入力とMock Responseを与え、期待する戻り値、状態更新、呼出引数になることを確認する。）
・404
　（対象なしResponseを与え、Not Foundとして処理されることを確認する。）
・生成失敗
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Content-Type
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Filename
　（HeaderまたはMetadataから安全なFilenameが生成・表示されることを確認する。）","・Repository→PDF Service→HTTP
　（Report取得からPDF生成、HTTP返却、実File開封までを確認する。）"
"034","RAG構築","Report Chunk設計","【実装済み】独立したchunk_service.pyは存在せず、ReportNodesがChunk構築と保存を行う。","backend/src/workflows/nodes / backend/src/models","Report Chunk設計に関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・backend/src/workflows/nodes/report_nodes.py
　→責務: Report内容からChunkを構築しEmbeddingを生成・保存する。
・backend/src/models/report_chunk.py
　→責務: Chunk本文、種別、Metadata、VECTOR(1536)を定義する。","Report Chunk設計を実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【backend/src/workflows/nodes/report_nodes.py】
・build_report_chunks（メソッド）
　→Report内容を検索単位へ分割する。
・generate_chunk_embeddings（メソッド）
　→各ChunkのEmbeddingを生成する。
・save_report_chunks（メソッド）
　→ChunkをDBへ保存する。","・Chunk数
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・空Section
　（空配列、空文字、空File等を与え、仕様どおり拒否またはEmpty表示になることを確認する。）
・Metadata
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・長文
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）","・Report生成後Chunk保存
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
"035","RAG構築","Vector Repository","Vector Repositoryを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","backend/src/repositories","Vector Repositoryに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・backend/src/repositories/vector_repository.py
　→責務: ReportChunkの作成・取得・類似検索・Report単位削除を担当する。","Vector Repositoryを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【backend/src/repositories/vector_repository.py】
・VectorRepository（クラス）
　→pgvectorを利用するReportChunk DB操作を集約する。
・create（メソッド）
　→ChunkとEmbeddingを保存する。
・get_by_report_and_index（メソッド）
　→Report IDとChunk indexで取得する。
・list_by_report_id（メソッド）
　→ReportのChunk一覧を返す。
・search_similar（メソッド）
　→FilterとLimit付きSimilarity検索を行う。
・delete_by_report_id（メソッド）
　→Report配下Chunkを削除する。","・Query
　（条件有無や複数条件を与え、期待するSQL/URL Queryが組み立てられることを確認する。）
・Limit
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Filter
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・次元
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・空結果
　（空配列、空文字、空File等を与え、仕様どおり拒否またはEmpty表示になることを確認する。）","・pgvector実検索
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）
・JOIN
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
"036","RAG構築","RAG Search Service","RAG Search Serviceを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","backend/src/services","RAG Search Serviceに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・backend/src/services/rag_search_service.py
　→責務: 質問検証、Embedding生成、Vector検索、Similarity変換を担当する。","RAG Search Serviceを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【backend/src/services/rag_search_service.py】
・RagSearchService（クラス）
　→RAG検索ユースケースを担当する。
・search（メソッド）
　→質問EmbeddingとFilterを使い類似Chunkを返す。
・_validate_query（内部メソッド）
　→質問を検証する。
・_validate_limit（内部メソッド）
　→Limitを検証する。
・_validate_chunk_types（内部メソッド）
　→Chunk Typeを検証する。
・_validate_date_range（内部メソッド）
　→Date Rangeを検証する。
・_to_similarity（内部メソッド）
　→DistanceをSimilarityへ変換する。","・関連Chunk
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・閾値
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Filter
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・根拠なし
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・AI失敗
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）","・Embedding→pgvector→Source
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
"037","RAG構築","Search API","Search APIを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","backend/src/api/v1","Search APIに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・backend/src/api/v1/search.py
　→責務: POST /api/v1/searchを提供する。
・backend/src/schemas/search_schema.py
　→責務: Search Request/Responseを型定義する。","Search APIを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【backend/src/api/v1/search.py】
・search_reports（関数）
　→RagSearchService.searchを呼び検索結果を返す。","・正常検索
　（有効な入力とMock Responseを与え、期待する戻り値、状態更新、呼出引数になることを確認する。）
・空
　（空配列、空文字、空File等を与え、仕様どおり拒否またはEmpty表示になることを確認する。）
・不正Limit
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Filter
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・502
　（AI等の外部Serviceを失敗させ、Bad Gateway相当のErrorへ変換されることを確認する。）","・Client→API→pgvector
　（実際のRouter、Service、RepositoryまたはMock Serverを接続し、RequestからResponseまでの契約を確認する。）"
